question,answer
What is single episode depressive disorder characterised by?,It is characterised by the presence or history of one depressive episode when there is no history of prior depressive episodes.
How long must a period of depressed mood last to be considered part of a depressive episode?,It must last at least two weeks.
How frequently must the depressed mood or diminished interest occur during the depressive episode?,"It must occur most of the day, nearly every day."
Besides depressed mood," what is the other core symptom that can characterise a depressive episode?,Diminished interest in activities."
What is required to have never occurred for a diagnosis of single episode depressive disorder?,"There have never been any prior manic, hypomanic, or mixed episodes."
What would the presence of prior manic or hypomanic episodes indicate instead of single episode depressive disorder?,It would indicate the presence of a bipolar disorder.
What is one example of a cognitive symptom that can accompany a depressive episode?,Difficulty concentrating.
What are some of the emotional symptoms that can accompany a depressive episode?,"Feelings of worthlessness or excessive or inappropriate guilt, and hopelessness."
What are some of the physical or behavioural symptoms that can accompany a depressive episode?,"Changes in appetite or sleep, psychomotor agitation or retardation, and reduced energy or fatigue."
What kind of recurrent thoughts can accompany a depressive episode?,Recurrent thoughts of death or suicide.
Why is the disorder called single episode depressive disorder?,Because it is characterised by the presence or history of one depressive episode when there is no history of prior depressive episodes.
Why must there be no history of prior depressive episodes for this diagnosis?,Because the definition specifies the disorder is for one depressive episode when there is no history of prior ones.
Why is a period of at least two weeks of symptoms required for a depressive episode?,"Because the episode is characterised by symptoms occurring most of the day, nearly every day during a period lasting at least two weeks."
Why is depressed mood or diminished interest in activities a key characteristic?,Because a depressive episode is characterised by a period of either depressed mood or diminished interest in activities.
Why are other symptoms like difficulty concentrating or feelings of worthlessness important?,Because a depressive episode must be accompanied by other symptoms such as these.
Why are changes in appetite or sleep considered significant symptoms?,Because they are among the other symptoms that accompany the period of depressed mood or diminished interest.
Why is the absence of prior manic," hypomanic, or mixed episodes crucial for this diagnosis?,Because the presence of such episodes would indicate the presence of a bipolar disorder instead."
Why would a history of manic episodes indicate bipolar disorder rather than single episode depressive disorder?,"Because the definition states that there must never have been any prior manic, hypomanic, or mixed episodes for this diagnosis."
Why is the duration of most of the day," nearly every day specified for the symptoms?,Because the depressed mood or diminished interest must occur with that frequency during the at least two-week period."
Why is reduced energy or fatigue listed as a symptom of a depressive episode?,Because it is one of the other symptoms that accompany the core features of the episode.
How might someone describe their mood most days?,"I just feel down all the time, like a heavy cloud is over me. Nothing really brings me joy anymore, not even the things I used to love."
What could someone say about their energy levels?,"I'm so tired all the time, even when I've just woken up. It feels like a huge effort to just get out of bed."
How might a person explain their sleep patterns?,"I either can't sleep at all, lying awake for hours, or I sleep way too much and still feel exhausted."
What could someone say about their appetite?,"I've completely lost my appetite; food just doesn't taste good. Sometimes it's the opposite, and I just eat without even being hungry."
How might a person describe their ability to focus?,"I can't concentrate on anything. I'll try to read or watch a show, but my mind just goes blank or wanders off after a few minutes."
What might someone say about their feelings of self-worth?,"I just feel like a complete failure, like everything is my fault and I don't deserve to be happy."
How could a person talk about their interest in social activities?,I don't want to see anyone or go out. I just want to be alone in my room. The thought of making plans feels exhausting.
What might someone say about feeling restless or slowed down?,"I feel so agitated, like I can't sit still, but I also have no energy to actually do anything. It's a horrible feeling."
How might a person describe their outlook on the future?,It all just seems hopeless. I can't imagine things ever getting better. It's like this is just how it is now.
What could someone say about thoughts that bother them?,"Sometimes thoughts about death just pop into my head, and I can't make them stop. I don't necessarily want to act on them, but they're always there."
What are some common risk factors that can increase the likelihood of developing a single episode of depressive disorder?,"Common risk factors include a family history of depression, experiencing significant life stressors such as the loss of a loved one or financial problems, chronic medical conditions, certain personality traits like high neuroticism, and a history of childhood trauma or adversity. Substance abuse and social isolation are also significant contributing factors."
How is single episode depressive disorder typically differentiated from adjustment disorder with depressed mood in a clinical setting?,"The key differentiator is the duration and severity of symptoms. A depressive episode requires symptoms to persist for at least two weeks and involve a specific set of severe symptoms like worthlessness or suicidal ideation. Adjustment disorder, in contrast, is a reaction to an identifiable stressor, with symptoms emerging within three months and typically resolving within six months after the stressor ends; its symptoms are generally less severe and do not meet the full criteria for a major depressive episode."
What are the first-line treatment options recommended for an individual diagnosed with single episode depressive disorder?,"First-line treatments typically include psychotherapy, particularly cognitive-behavioral therapy (CBT) and interpersonal therapy (IPT). For moderate to severe cases, antidepressant medications such as selective serotonin reuptake inhibitors (SSRIs) are often prescribed. A combination of psychotherapy and medication is usually more effective than either treatment alone. Lifestyle interventions focusing on regular exercise, sleep hygiene, and a healthy diet are also encouraged."
What is the potential long-term prognosis for someone who has experienced a single episode of depressive disorder?,"The prognosis is generally good, with many individuals achieving full remission of symptoms with appropriate treatment. However, a significant concern is the risk of recurrence; experiencing one major depressive episode increases the risk of having subsequent episodes later in life. Ongoing management and developing healthy coping strategies are important to prevent relapse."
Beyond the core symptoms," what are some common functional impairments associated with a single episode of depressive disorder?,Functional impairments often extend to various life domains, including significant difficulties in occupational performance, such as absenteeism and reduced productivity. Social and interpersonal relationships frequently suffer due to social withdrawal and irritability. There can also be a notable decline in academic performance for students and challenges in managing daily responsibilities and self-care."
What is the primary defining feature of single episode depressive disorder that distinguishes it from other types of depression?,"The primary defining feature is the presence or history of only one depressive episode, with no history of any prior depressive episodes."
